0.076	0.337438	0.450006	-3.32892	0.271785	-2.4446	-69.6981
0.077	0.334108	0.450242	-3.32986	0.20187	0.563488	-70.0848
0.078	0.330778	0.450409	-3.32752	0.132057	4.13674	-69.4908
0.079	0.327453	0.450507	-3.32171	0.06337	7.48095	-67.8333
0.08	0.324135	0.450536	-3.31304	-0.00334957	9.85956	-65.5536
0.081	0.320827	0.4505	-3.3026	-0.0678162	11.0316	-63.3259
0.082	0.31753	0.4504	-3.29148	-0.13031	11.2258	-61.6065
0.083	0.314244	0.450239	-3.28047	-0.191405	10.7939	-60.5258
0.084	0.310969	0.450018	-3.27007	-0.251711	10.0112	-60.0262
0.085	0.307704	0.449736	-3.26055	-0.31175	9.04517	-59.9899
0.086	0.304448	0.449394	-3.25204	-0.371927	7.98276	-60.3014
0.087	0.3012	0.448992	-3.24462	-0.432545	6.85841	-60.8674
0.088	0.297958	0.448529	-3.23836	-0.493823	5.67278	-61.6202
0.089	0.294723	0.448004	-3.23333	-0.555927	4.40228	-62.5163
0.09	0.291492	0.447417	-3.22963	-0.61899	3.00284	-63.5346
0.091	0.288264	0.446766	-3.22743	-0.683135	1.41016	-64.6785
0.092	0.285037	0.446051	-3.22696	-0.748505	-0.462484	-65.9794
0.093	0.28181	0.445269	-3.22856	-0.815291	-2.72787	-67.5071
0.094	0.27858	0.44442	-3.23269	-0.883781	-5.52383	-69.3855
0.095	0.275344	0.443502	-3.23994	-0.954428	-8.96649	-71.815
0.096	0.2721	0.442511	-3.2508	-1.02789	-12.7557	-75.0195
0.097	0.268843	0.441446	-3.26326	-1.10431	-12.1503	-77.7117
0.098	0.265573	0.440302	-3.25969	-1.16865	19.2972	-50.8652
0.099	0.262323	0.439108	-3.24191	-1.21467	16.2706	-41.0542
0.1	0.25909	0.437873	-3.2278	-1.25326	11.9571	-36.0017
0.101	0.255868	0.436602	-3.21279	-1.28513	18.0731	-27.6213
0.102	0.252664	0.435303	-3.18713	-1.31307	33.2609	-28.1126
0.103	0.249493	0.433976	-3.15085	-1.34533	39.3028	-36.2736
0.104	0.246362	0.432612	-3.1115	-1.3852	39.3959	-43.3086
0.105	0.24327	0.431205	-3.07267	-1.43125	38.2529	-48.6243
0.106	0.240217	0.429749	-3.0348	-1.48202	37.4861	-52.7305
0.107	0.237201	0.428241	-2.99722	-1.53632	37.6822	-55.6743
0.108	0.234222	0.426677	-2.95893	-1.59272	38.8776	-56.9365
0.109	0.231283	0.425055	-2.91937	-1.6492	40.2234	-55.8001
0.11	0.228384	0.423378	-2.8792	-1.70339	40.0953	-52.3449
0.111	0.225525	0.421648	-2.84034	-1.75342	37.576	-47.4512
0.112	0.222703	0.419871	-2.80476	-1.79766	33.5284	-40.7668
0.113	0.219915	0.418053	-2.77194	-1.83294	32.0505	-29.4829
0.114	0.217159	0.416205	-2.73498	-1.85626	41.7787	-16.8373
0.115	0.214445	0.41434	-2.6872	-1.8727	53.685	-15.7014
0.116	0.211785	0.41246	-2.63115	-1.89038	58.2704	-19.2871
0.117	0.209183	0.410559	-2.57205	-1.91133	59.743	-22.1965
0.118	0.206641	0.408637	-2.51165	-1.93463	60.8349	-23.9467
0.119	0.20416	0.40669	-2.44981	-1.9592	62.54	-24.7085
0.12	0.201742	0.404718	-2.38579	-1.98411	65.1212	-24.5867
0.121	0.199389	0.402721	-2.3188	-2.00854	68.3397	-23.7061
0.122	0.197104	0.400701	-2.24852	-2.03191	71.5581	-22.4396
0.123	0.194892	0.398657	-2.17526	-2.05411	74.0797	-21.4009
0.124	0.192754	0.396592	-2.09988	-2.07554	75.4981	-21.0284
